time,height,speed,acceleration
5.15,1303.44287,198.86141,-39.60167
5.16,1303.44287,198.46769,-41.24217
5.17,1312.69529,198.10678,-34.64736
5.18,1312.69529,197.74587,-31.36636
5.19,1312.69529,197.38496,-33.00686
5.2,1312.69529,197.02405,-41.24217
5.21,1312.69529,196.63033,-39.60167
5.22,1318.50266,196.23661,-39.60167
5.23,1318.50266,195.84289,-41.24217
5.24,1318.50266,195.44917,-41.24217
5.25,1318.50266,195.02264,-41.24217
5.26,1318.50266,194.62892,-37.96117
5.27,1326.60673,194.2352,-37.96117
5.28,1326.60673,193.84148,-41.24217
5.29,1326.60673,193.44776,-36.28786
5.3,1326.60673,193.08685,-41.24217
5.31,1326.60673,192.69313,-34.64736
5.32,1335.56386,192.33222,-39.60167
5.33,1335.56386,191.9385,-36.28786
5.34,1335.56386,191.57759,-33.00686
5.35,1335.56386,191.18387,-44.55598
5.36,1335.56386,190.82296,-34.64736
5.37,1342.51958,190.42924,-39.60167
5.38,1342.51958,190.06833,-36.28786
5.39,1342.51958,189.70742,-36.28786
5.4,1342.51958,189.34651,-37.96117
5.41,1342.51958,188.9856,-34.64736
5.42,1354.95457,188.62469,-36.28786
5.43,1354.95457,188.26378,-34.64736
5.44,1354.95457,187.90287,-36.28786
5.45,1354.95457,187.54196,-34.64736
5.46,1354.95457,187.21386,-31.36636
5.46,1354.95457,187.21386,-31.36636
5.47,1365.68344,186.85295,-34.64736
5.48,1365.68344,186.49204,-39.60167
5.49,1365.68344,186.13113,-39.60167
5.5,1365.68344,185.77022,-33.00686
5.51,1365.68344,185.40931,-37.96117
5.52,1367.42237,185.0484,-34.64736
5.53,1367.42237,184.68749,-37.96117
5.54,1367.42237,184.32658,-29.69305
5.55,1367.42237,183.96567,-36.28786
5.56,1367.42237,183.60476,-39.60167
5.57,1376.97008,183.24385,-36.28786
5.58,1376.97008,182.88294,-37.96117
5.59,1376.97008,182.52203,-33.00686
5.6,1376.97008,182.16112,-34.64736
5.61,1376.97008,181.83302,-36.28786
5.62,1386.84589,181.47211,-36.28786
5.63,1386.84589,181.1112,-31.36636
5.64,1386.84589,180.7831,-34.64736
5.65,1386.84589,180.42219,-36.28786
5.66,1386.84589,180.06128,-41.24217
5.67,1405.97412,179.66756,-34.64736
5.68,1405.97412,179.30665,-36.28786
5.69,1405.97412,178.94574,-39.60167
5.7,1405.97412,178.58483,-34.64736
5.71,1405.97412,178.25673,-29.69305
5.72,1408.59892,177.89582,-34.64736
5.73,1408.59892,177.53491,-36.28786
5.74,1408.59892,177.174,-36.28786
5.75,1408.59892,176.81309,-37.96117
5.76,1408.59892,176.45218,-39.60167
5.77,1413.81571,176.05846,-39.60167
5.78,1413.81571,175.66474,-36.28786
5.78,1413.81571,175.66474,-36.28786
5.79,1413.81571,175.30383,-39.60167
5.8,1413.81571,174.91011,-34.64736
5.81,1413.81571,174.5492,-37.96117
5.82,1411.19091,174.18829,-37.96117
5.83,1411.19091,173.79457,-39.60167
